認証番号,店名,住所,更新日
2420,うな雄,福井県坂井市春江町西長田47-24-4,2021-08-11
2419,喫茶 ウインディ,福井県大野市朝日35-3-5,2021-08-11
2417,ピザファーム キッチン,福井県勝山市片瀬町2-515,2021-08-11
2414,御園飯店,福井県鯖江市水落町8-6,2021-08-11
2410,今庄そば,福井県福井市中央1-1-1 JR福井駅構内,2021-08-11
2409,料理旅館 由幸,福井県大飯郡高浜町日引25-7,2021-08-11
2408,セーラ,福井県敦賀市本町1-5-8,2021-08-11
2406,Rapture,福井県敦賀市本町1-9-15 UPビル2F,2021-08-11
2405,みんなのりびんぐ れもん,福井県福井市みのり4-14-8,2021-08-11
2401,民宿 村上,福井県小浜市西小川9-7,2021-08-11
2398,あまごの宿,福井県勝山市野向町横倉56-35,2021-08-11
2394,エンドレスピース,福井県小浜市駅前町9-15 五番街ビル7F,2021-08-11
2389,まるちゅう 広田,福井県小浜市阿納7-48,2021-08-11
2388,中村屋,福井県福井市足羽1-8-43,2021-08-11
2381,Bunny Supertte,福井県大野市蕨生137-21-1,2021-08-11
2378,Beer Café 麒麟,福井県大飯郡おおい町本郷144-18,2021-08-11
2377,カフェ チョコラータ,福井県福井市西方1-10-6,2021-08-11
2376,喫茶 狩人,福井県福井市二の宮1-6-20,2021-08-11
2372,NIGHT SPACE 翠,福井県小浜市大手町3-1 小林ビル1F,2021-08-11
2371,にっこり亭,福井県大野市美里町616,2021-08-11
2369,居酒屋 鮨太郎,福井県福井市日光2-25-7 吉川総業ビル,2021-08-11
2367,つくも橋 ピリケン 本店,福井県福井市つくも1-5-28,2021-08-11
2365,天,福井県勝山市元町1-2-3,2021-08-11
2362,新海寿司,福井県福井市西木田1-17-16,2021-08-11
2358,地鶏庵,福井県小浜市小浜広峰59,2021-08-11
2356,旬彩館 リ・メール,福井県敦賀市和久野7-21,2021-08-11
2354,手作りパン＆自家焙煎 モントリオール,福井県福井市成和1-3109,2021-08-11
2352,食堂 えがみ,福井県大飯郡高浜町田ノ浦1-1 高浜発電所協力会社B棟1F,2021-08-11
2351,江上鮮魚店,福井県大飯郡高浜町事代1-57,2021-08-11
2349,御食事処 小ばやし,福井県敦賀市木崎23-6-3,2021-08-11
2348,フランス料理 ル・サンオンズ,福井県敦賀市栄新町3-14,2021-08-11
2344,フェイト,福井県福井市文京5-13-38 ハイシティ文京1F,2021-08-11
2342,越前そば 大手門,福井県敦賀市呉竹町2-9-15,2021-08-11
2341,大戸屋ごはん処 福井月見店,福井県福井市月見1-12-26,2021-08-11
2339,金の鱗,福井県大飯郡高浜町紫水ケ丘1-1-80,2021-08-11
2337,吾平,福井県越前市本多1-10-3,2021-08-11
2336,カラオケスター welcome,福井県小浜市小浜白鳥27-3,2021-08-11
2333,Cat viIIage（キャットヴィレッジ）,福井県勝山市村岡町浄土寺38-12,2021-08-11
2332,焼肉とレストラン 牛々亭,福井県福井市花堂南1-8-5,2021-08-11
2331,旬庵 きくら,福井県越前市押田1-2-27,2021-08-11
2329,そば処 二男坊,福井県鯖江市吉江町512,2021-08-11
2328,イタリア料理 時代屋,福井県敦賀市本町1-7-35,2021-08-11
2327,IZAKAYA DAI,福井県小浜市小浜広峰1-1,2021-08-11
2326,いけす割烹 雅,福井県小浜市小浜香取107,2021-08-11
2324,蕎麦花亭,福井県勝山市旭町1-3-17,2021-08-11
2323,シルク du カフェ,福井県大野市元町9-22,2021-08-11
2322,食彩 ごえん,福井県小浜市小浜日吉57-2,2021-08-11
2319,希林館,福井県福井市大宮1-7-2,2021-08-11
2318,やきとり あきお,福井県福井市文京2-2-15,2021-08-11
2310,演歌練場 街角,福井県福井市幾久町8-3,2021-08-11
2304,手打ちそば 五郎兵衛,福井県小浜市加斗29-1-1,2021-08-11
2303,喫茶 津室,福井県吉田郡永平寺町東古市13-26,2021-08-11
2301,うらたに旅館,福井県小浜市宇久6-9,2021-08-11
2300,スナック ちとせ,福井県小浜市大手町9-2,2021-08-11
2299,民宿 品野,福井県丹生郡越前町厨7-30-1,2021-08-11
2296,長谷川,福井県あわら市二面48-14,2021-08-11
2295,リゾートイン キシモト,福井県大飯郡高浜町薗部61-5,2021-08-11
2289,魚七,福井県勝山市荒土町松田30-20,2021-08-11
2284,マクドナルド 鯖江アルプラザ店,福井県鯖江市下河端町16字下町16-1,2021-08-11
2281,マクドナルド 若杉店,福井県福井市若杉4-710,2021-08-11
2280,新日本海フェリー敦賀支店レストラン Pont de Glace,福井県敦賀市鞠山95-4 ターミナル2F,2021-08-11
2279,生そば 新保屋 三国店,福井県坂井市三国町山王2-9-39,2021-08-11
2278,喫茶 バロック,福井県大野市陽明町1-1109,2021-08-11
2275,マクドナルド 武生シピィ店,福井県越前市新町2-17-2,2021-08-11
2272,本手打 今庄そば ふる里,福井県越前市東千福町17-7,2021-08-11
2271,マクドナルド 西鯖江店,福井県鯖江市有定町1-1010,2021-08-11
2270,マクドナルド 8号線丸岡店,福井県坂井市丸岡町朝陽2-204-1,2021-08-11
2269,マクドナルド 花堂店,福井県福井市花堂中2-27-8,2021-08-11
2268,永平寺 胡麻豆腐の里,福井県吉田郡永平寺町荒谷24-7-1,2021-08-11
2267,喫茶 カラオケ 舞,福井県坂井市春江町藤鷲塚39-14-1 堀川ビル201,2021-08-11
2266,四季旬菜 川甚,福井県あわら市二面1-906,2021-08-11
2263,レストラン アルタ,福井県福井市羽水3-104,2021-08-11
2262,カフェ・レストラン オレンジ,福井県あわら市大溝2-31-1,2021-08-11
2261,御鷹亭,福井県南条郡南越前町東大道12-16-6,2021-08-11
2260,ダイニング 梵亭,福井県坂井市春江町随応寺114,2021-08-11
2259,鶏っぷ 別邸,福井県鯖江市有定町2-3-2,2021-08-11
2258,マクドナルド 大野ヴィオ店,福井県大野市鍬掛17-17-1,2021-08-11
2257,めん工房 きふね,福井県勝山市旭町2-755,2021-08-11
2254,居酒屋 雅,福井県吉田郡永平寺町松岡平成191-8,2021-08-11
2250,マクドナルド 福井南ワイプラザ店,福井県福井市羽水2-717,2021-08-11
2247,お料理 やそはち,福井県越前市不老町16-15,2021-08-11
2245,御料理 一燈,福井県福井市春山2-1-7,2021-08-11
2243,千成そば,福井県敦賀市野神43-3,2021-08-11
2242,洋菜酒場 マンモス,福井県小浜市小浜酒井1-23,2021-08-11
2241,カフェ＆レストラン ネヌファ,福井県南条郡南越前町湯尾19-23-3,2021-08-11
2240,うたごえ喫茶 ロッジ,福井県福井市三万谷町67-34,2021-08-11
2239,居酒屋 寿達富,福井県越前市文京1-6-32,2021-08-11
2238,浜料理 うおすき,福井県敦賀市松葉町33-3-2,2021-08-11
2237,はなひらく,福井県福井市大手3-12-20 ホテルフジタ2F,2021-08-11
2235,龍宮園,福井県鯖江市小泉町26-7,2021-08-11
2234,炙り厨房 こんろ家 福井小浜店,福井県小浜市駅前町2-8 おおきどビル1F,2021-08-11
2233,ふる屋,福井県南条郡南越前町今庄83-3-1,2021-08-11
2228,焼肉酒場 まるこめ,福井県福井市二の宮4-26-24,2021-08-11
2227,きよしや,福井県三方上中郡若狭町遊子11-10,2021-08-11
2226,ロッキンバーグマン,福井県大飯郡おおい町野尻21-28-1,2021-08-11
2223,とんぼ,福井県坂井市三国町運動公園2-1201,2021-08-11
2222,隠し蔵,福井県大飯郡高浜町宮崎75-6-5,2021-08-11
2221,旬菜ダイニングバー Veggies,福井県福井市二の宮4-4-4,2021-08-11
2219,和洋膳 茶の花,福井県越前市押田1-4-11,2021-08-11
2218,お食事処 はまがわ,福井県小浜市駅前町7-3,2021-08-11
2217,白龍亭,福井県小浜市駅前町4-45,2021-08-11
2213,お座敷カフェ なかがわ,福井県福井市両橋屋町23-40,2021-08-11
2210,炭火焼肉 つよし,福井県福井市板垣1-525 サンパーラ板垣ビル,2021-08-11
2209,東喜家,福井県吉田郡永平寺町志比24-6,2021-08-11
2208,越石亭,福井県福井市東郷二ケ町27-12,2021-08-11
2207,ソニョーポリ,福井県敦賀市金ケ崎町4-1 赤レンガ倉庫,2021-08-11
2206,ふぐ料理の宿 さいば,福井県小浜市阿納12-73,2021-08-11
2204,Lounge TEXAS,福井県小浜市小浜酒井1-83,2021-08-11
2200,マクドナルド 鯖江神明店,福井県鯖江市幸町2-5-28,2021-08-11
2198,焼肉・海鮮 まるや,福井県大飯郡おおい町本郷154-1-8,2021-08-11
2197,お食事 伸,福井県大飯郡おおい町本郷137-7-1,2021-08-11
2196,美前屋,福井県三方上中郡若狭町常神1-59,2021-08-11
2192,料亭 播磨,福井県小浜市小浜香取3,2021-08-11
2190,三幸,福井県福井市御幸3-1109,2021-08-11
2188,レストラン 神明苑,福井県鯖江市神明町2-8-4 三六温泉 神明苑内,2021-08-11
2187,料理旅館 ふくや,福井県坂井市三国町緑ヶ丘4-1-46,2021-08-11
2186,ばんこ旅館,福井県坂井市三国町宿3-7-25,2021-08-11
2185,ペンションUPO,福井県勝山市村岡町栃神谷11-6-1,2021-08-11
2184,YAYAMARU CAFÉ,福井県福井市大宮5-6-18,2021-08-11
2180,海鮮アトム 勝山店,福井県勝山市長山町2-7-20,2021-08-11
2176,さんじゅうや,福井県敦賀市本町1-13-3,2021-08-11
2173,のり平,福井県小浜市生守44-3,2021-08-11
2172,軽食喫茶 翌檜,福井県敦賀市元比田堂の上10-16,2021-08-11
2170,インドネパール料理店 サプナ,福井県鯖江市水落町1-14-13,2021-08-11
2169,らーめん世界 敦賀店,福井県敦賀市木崎20向河原1-1,2021-08-11
2168,餐坊食堂,福井県あわら市吉崎1-101-1,2021-08-11
2167,郷土料理 ときわ,福井県大野市元町5-18,2021-08-11
2166,幸鮨,福井県越前市幸町5-8,2021-08-11
2165,焼肉BEER苑 なかや,福井県あわら市自由ヶ丘2-4-20,2021-08-11
2164,秋吉 敦賀本町店,福井県敦賀市本町1-9-18,2021-08-11
2162,横浜家系ラーメン 風神家 福井本店,福井県福井市二の宮5-18-24,2021-08-11
2161,土の駅 今庄,福井県南条郡南越前町湯尾96-19,2021-08-11
2160,カルビ大将 敦賀若葉店,福井県敦賀市若葉町2-1407,2021-08-11
2159,ダイニング しおそう 本店,福井県敦賀市衣掛町502,2021-08-11
2158,塩荘 すずかけ亭,福井県敦賀市衣掛町502,2021-08-11
2157,カラオケ喫茶 どれみ,福井県越前市国府2-5-2,2021-08-11
2156,エルマノ,福井県福井市西谷2-2703,2021-08-11
2154,気軽に和食 はせや,福井県福井市経田2-301-2 フェルティビル1F 102,2021-08-11
2153,焼肉 食道園,福井県敦賀市津内町1-14-7,2021-08-11
2152,どんと屋,福井県敦賀市蓬莱町14-16,2021-08-11
2146,石挽きそば 好太郎,福井県勝山市鹿谷町保田98-7-2,2021-08-11
2144,嵯峨,福井県三方郡美浜町日向61-1-155,2021-08-11
2141,レストラン ふくしん,福井県福井市高木中央1-205,2021-08-11
2140,激盛らーめん ゴリラ屋,福井県福井市文京4-2-3,2021-08-11
2138,福乃家,福井県あわら市温泉5-303,2021-08-11
2137,カレーハウス CoCo壱番屋 鯖江有定町店,福井県鯖江市有定町3-501,2021-08-11
2136,日本料理 魚ほか,福井県越前市神明町1-41,2021-08-11
2135,カラオケ居酒屋 せん,福井県鯖江市吉江町15-72-6,2021-08-11
2133,カラオケ喫茶 スナック 美南,福井県福井市高木中央1-3102,2021-08-11
2132,しもうしろ 魚清,福井県勝山市本町2-6-3,2021-08-11
2130,８番らーめん 松島店,福井県敦賀市呉竹町2-13-20,2021-08-11
2128,レストラン 菊水,福井県大飯郡高浜町宮崎86-48-1,2021-08-11
2127,つるき 宝永支店,福井県福井市宝永1-14-22,2021-08-11
2126,Cafe.de.George SAND,福井県坂井市春江町針原21-49-7 Kテナントビル,2021-08-11
2123,居酒屋 どっとこむ 丸岡店,福井県坂井市丸岡町一本田五字北尻64,2021-08-11
2122,スナック喫茶 トーヨー,福井県福井市日之出1-13-1,2021-08-11
2120,マクドナルド 鯖江神明店,福井県鯖江市幸町2-5-28,2021-08-11
2115,蕎麦 天ぷら 海鮮 すずや,福井県敦賀市白銀町1-22,2021-08-11
2112,ユトリ珈琲店 アル・プラザ敦賀店,福井県敦賀市白銀町11-5,2021-08-11
2111,寿し辰,福井県敦賀市白銀町7-18,2021-08-11
2110,麺匠 かぐや,福井県敦賀市呉竹町2-5-25-1,2021-08-11
2109,勝山温泉センター 水芭蕉,福井県勝山市村岡町浄土寺30-11,2021-08-11
2108,モスバーガー 敦賀店,福井県敦賀市木崎13-28,2021-08-11
2107,モスバーガー 小浜店,福井県小浜市大手町5-3,2021-08-11
2105,Sea of JAPAN 彩波,福井県敦賀市若葉町1-1531,2021-08-11
2103,カフェ・アルカンシェル,福井県小浜市府中8-23,2021-08-11
2102,ニシムラカフェ 本店,福井県福井市経田2-101,2021-08-11
2101,イルマーレ,福井県大飯郡高浜町畑11-15-4,2021-08-11
2098,酒屋 哲ちゃん,福井県敦賀市本町1-4-13 カワセビル1F,2021-08-11
2097,ハニー&クローバー アカデミア店,福井県福井市菅谷1-1-22 福井アカデミアホテル1F,2021-08-11
2096,ホテル 若杉本館,福井県小浜市駅前町7-16,2021-08-11
2093,大黒食堂,福井県越前市粟田部町中央2-908,2021-08-11
2091,はるむに 二の宮店,福井県福井市二の宮3-5-1,2021-08-11
2089,カフェダイニング 香桜里,福井県敦賀市沓見137-8-16,2021-08-11
2088,くら・蔵,福井県大飯郡高浜町宮崎第77-1-8 若狭高浜駅内,2021-08-11
2085,松田屋,福井県福井市日之出1-17-22,2021-08-11
2083,花城 与三郎寿司,福井県敦賀市松島130-170-12,2021-08-11
2079,WAびすとろ 華むら,福井県福井市大町16字古川210-1,2021-08-11
2078,料亭 京家,福井県福井市越前市天王町2-6,2021-08-11
2076,居酒屋 秀,福井県小浜市府中15-13,2021-08-11
2075,カラオケスナック 恋月夜,福井県小浜市小浜白鬚37 D-1ビル4F,2021-08-11
2072,すし勘,福井県敦賀市本町1-8-12,2021-08-11
2069,お食事処 うおさき,福井県敦賀市白銀町1-10,2021-08-11
2067,プレスクラブ,福井県大野市明倫町5-17,2021-08-11
2066,扇寿司,福井県勝山市元町1-14-21,2021-08-11
2065,Nightin Le ERIKO,福井県小浜市駅前町26-16-16 クロスポイント3Mビル2F,2021-08-11
2063,すうぷ屋,福井県福井市加茂河原4-1-14,2021-08-11
2061,旅荘 みや本,福井県丹生郡越前町厨26-13-1,2021-08-11
2058,ビリヤード チェス,福井県敦賀市野神43-17-4,2021-08-11
2051,城山荘,福井県大飯郡高浜町事代6-1-1,2021-08-11
2049,さくらんぼ,福井県越前市桂町3-15,2021-08-11
2047,越前寿司処 丸松,福井県福井市光陽2-1808,2021-08-11
2045,福井酒屋 五膳屋 武生店,福井県越前市上太田町2-9-15-1 カワイビル1F,2021-08-11
2044,キャッツアイ,福井県福井市城東1-15-18 第二イーストホーポ1F,2021-08-11
2043,新宝来,福井県福井市文京1-35-11,2021-08-11
2040,パティスリー ル・タニ,福井県福井市上野本町3-2101,2021-08-11
2039,喜楽楽,福井県越前市蓬莱町6-16 アークビル1F,2021-08-11
2038,居酒屋 さかな囃子,福井県福井市石盛町523,2021-08-11
2036,大菊門,福井県敦賀市三島32-4-12,2021-08-11
2035,焼肉処 あおしん,福井県越前市大屋48-7-3,2021-08-11
2034,Eカフェ,福井県福井市末広町15-8-5,2021-08-11
2033,すし処 よかろ,福井県鯖江市有定町3-2-9,2021-08-11
2032,関取寿し 分店,福井県敦賀市神楽2-3-21,2021-08-11
2031,居酒屋 力家,福井県越前市桂町8-15,2021-08-11
2030,サルバドニカ,福井県福井市花堂東2-508,2021-08-11
2029,たけや,福井県福井市照手1-8-18,2021-08-11
2026,ブラジル,福井県大野市陽明町2-209,2021-08-11
2023,お食事処 さの,福井県越前市高瀬1-18-9,2021-08-11
2022,天じゅ,福井県福井市高木中央1-304,2021-08-11
2021,まる八,福井県福井市御幸1-1-9,2021-08-11
2019,桂馬,福井県あわら市温泉3-608,2021-08-11
2015,呑み処 やなぎ,福井県越前市五分市町5-18-1,2021-08-11
2014,カフェ＆カジュアル居酒屋 風,福井県福井市花堂南1-5-25,2021-08-11
2012,料亭 うおとめ,福井県越前市吾妻町1-45,2021-08-11
2010,越前 海の幸 料理 はまさき,福井県越前市矢船町17-8,2021-08-11
2009,料亭 糸屋,福井県越前市国府1-11-5,2021-08-11
2008,レストランこめや,福井県丹生郡越前町梅浦58-11,2021-08-11
2007,春駒,福井県敦賀市本町1-2-40,2021-08-11
2006,すしハウス 昔ばなし,福井県越前市押田1-4-7,2021-08-11
2005,(有) 寿司天狗,福井県越前市日野美1-3-23,2021-08-11
2004,中華居酒屋,福井県福井市飯塚29-101,2021-08-11
2002,辨三寿司,福井県坂井市春江町江留上緑8-6,2021-08-11
2000,ナイト・ラウンジ アウル,福井県大野市弥生町7-4 サミットビル1F,2021-08-11
1999,そばはうす えびすや,福井県大野市有明町7-18,2021-08-11
1998,旬味和膳 白扇,福井県福井市成和1-909,2021-08-11
1997,和ダイニング 藤の季,福井県福井市菅谷1-1-22 福井アカデミアホテル1F,2021-08-11
1996,ごはん屋 ごっつぉ,福井県勝山市滝波町5-314,2021-08-11
1993,お食事処 たけと,福井県敦賀市木崎13-7-1,2021-08-11
1992,SNACK R,福井県大野市高砂町17-2 待合室ビル2F,2021-08-11
1989,喰いものや 一心亭,福井県福井市田原2-20-12,2021-08-11
1988,スナック 華,福井県越前市北府3-3-27,2021-08-11
1987,カラオケ喫茶 アニー,福井県福井市西開発2-408,2021-08-11
1986,ご馳走 Lunch／Cafe あるかんしぇる,福井県坂井市丸岡町熊堂3-7-1-16 福井県産業情報センター2F,2021-08-11
1984,麺屋 ぜん,福井県大野市日吉町18-12,2021-08-11
1983,丸寿司,福井県福井市照手4-10-16,2021-08-11
1982,松原病院内喫茶,福井県福井市文京2-9-1,2021-08-11
1980,Yellow 2,福井県福井市灯明寺3-201,2021-08-11
1979,学園レストラン アンカンシェル,福井県福井市学園3-6-1 福井工業大学2号館B1,2021-08-11
1978,カラオケ喫茶 ももか,福井県福井市舟橋新1-1321-1,2021-08-11
1976,やよい食堂,福井県小浜市駅前町1-15,2021-08-11
1975,grow,福井県福井市福1-2915 小林ビル1F,2021-08-11
1974,カラオケ喫茶 スナック ニュー明窓,福井県福井市田原2-24-17,2021-08-11
1970,美芳屋,福井県三方郡美浜町日向67-1-95,2021-08-11
1969,歳月苑,福井県敦賀市木崎28-7-1,2021-08-11
1968,スナック ドル,福井県小浜市小浜酒井110-1,2021-08-11
1965,NOAH ノア,福井県福井市順化2-20-9 中村ビル2F,2021-08-11
1964,居酒屋 ひょうたん,福井県敦賀市元町10-4,2021-08-11
1963,アミューズメントスペース まどかとひさ乃,福井県あわら市二面41-13-1,2021-08-11
1960,スナック 花番,福井県敦賀市本町1-5-8 シルクライトコート4H,2021-08-11
1958,料理旅館 樹香苑,福井県丹生郡越前町小曽原7-7-1,2021-08-11
1957,櫂（かい）,福井県小浜市駅前町2-1 Ｎビル1F,2021-08-11
1954,うまか亭 アル・プラザ敦賀店,福井県敦賀市白銀町11-5 アル・プラザ敦賀店6F,2021-08-11
1952,はるせん 本店,福井県坂井市春江町江留上昭和4-4,2021-08-11
1949,シュトラウス金進堂,福井県越前市姫川2-3-39,2021-08-11
1948,民宿 なかむら,福井県丹生郡越前町茂原9-23-2,2021-08-11
1947,喫茶飲食店 シルクルーム,福井県三方上中郡若狭町能登野34-39,2021-08-11
1943,うおまさ cafe,福井県大野市明倫町9-10,2021-08-11
1942,栄雲堂,福井県越前市京町1-1-2,2021-08-11
1940,カラオケ喫茶 みやこ,福井県福井市菅谷2-10-22,2021-08-11
1939,スナック ふみ,福井県勝山市本町2-11-12,2021-08-11
1937,越前生そば ながと,福井県鯖江市横江町2-2-305,2021-08-11
1936,喜楽居酒屋 和よし,福井県福井市丸山町1-413,2021-08-11
1935,福井県立病院 レストラン さくら,福井県福井市四ツ井2-8-1 福井県立病院2F,2021-08-11
1933,海鮮処 三国港,福井県坂井市三国町楽円53-1-2,2021-08-11
1932,(有) たけ庄,福井県坂井市三国町楽円53-1-2,2021-08-11
1931,カフェ＆ゲストハウス ナマケモノ,福井県大野市篠座町7-2,2021-08-11
1929,レストラン MarPE 美味しい学研究所,福井県越前市千福町382,2021-08-11
1928,S'Amuser,福井県坂井市三国町北本町4-5-31,2021-08-11
1927,喫茶 ボストン,福井県福井市大瀬町24-8-3,2021-08-11
1925,グリル あまから,福井県福井市西谷3-1302,2021-08-11
1924,料理 大むら,福井県福井市渕4-2005,2021-08-11
1922,ヨーロッパ軒 豊島分店,福井県福井市豊島2-3-3,2021-08-11
1921,幸寿し,福井県福井市田原1-1-3,2021-08-11
1920,とみや,福井県福井市文京2-5-49,2021-08-11
1919,マンガ喫茶 ドリーム,福井県坂井市春江町江留中38-5,2021-08-11
1918,リストランテ カルド,福井県敦賀市木崎51-24-1,2021-08-11
1917,グラスムーン,福井県福井市花堂南2-12-1,2021-08-11
1914,潮鮨,福井県越前市岡本町15-2-4,2021-08-11
1913,柊月,福井県福井市順化1-7-8 エドモンド片町4F,2021-08-11
1912,参千番,福井県勝山市本町1-5-27,2021-08-11
1911,Your resort 光泉,福井県大飯郡高浜町西三松2-1,2021-08-11
1910,つちカフェ,福井県勝山市本町4-2-36,2021-08-11
1909,ラーメン 多弐家 勝山店,福井県勝山市沢町2-7-27,2021-08-11
1908,タリーズコーヒー 福井ベル店,福井県福井市花堂南2-16-1 ショッピングシティベル1F,2021-08-11
1906,８番らーめん イーザ三国店,福井県坂井市三国町三国東5-1-36,2021-08-11
1905,イタリアン バル マーサ,福井県福井市門前2-1213,2021-08-11
1904,NOBU morimoto,福井県あわら市春宮1-2-33,2021-08-11
1903,捨恋来,福井県福井市文京5-14-3,2021-08-11
1902,蔵カフェ mon,福井県鯖江市大野町29-21,2021-08-11
1901,小松屋,福井県福井市照手1-4-4,2021-08-11
1899,カルビ大将 鯖江店,福井県鯖江市下河端町6-15-5,2021-08-11
1898,さくら茶屋 メガドンキホーテUNY 敦賀店,福井県敦賀市中央町1-5-5,2021-08-11
1896,うな政,福井県越前市押田1-3-25,2021-08-11
1895,花湖,福井県鯖江市杉本町18-8-3,2021-08-11
1894,明城ファーム 武生中央公園店,福井県越前市高瀬2-3 ごはんカフェはぐもぐ内,2021-08-11
1893,明城ファーム 直営店,福井県越前市杉崎町3-9-1,2021-08-11
1892,ふくい駅前 いちろくらーめん,福井県福井市中央1-2-1 ハピリン2F,2021-08-11
1891,料亭 鎌仁別荘,福井県越前市天王町3-4,2021-08-11
1890,そば処 一福,福井県今立郡池田町稲荷34-24-1,2021-08-11
1889,米太,福井県小浜市小浜住吉9,2021-08-11
1888,緑茶房 New green cafe,福井県小浜市小浜酒井95-2,2021-08-11
1887,十割そば いたどり,福井県南条郡南越前町板取16-12,2021-08-11
1885,チモトコーヒー プラザ萬象店,福井県敦賀市東洋町1-1,2021-08-11
1884,麺匠 麦之助,福井県福井市新田塚1-70-28,2021-08-11
1882,石勝食堂,福井県坂井市三国町南本町4-11-12,2021-08-11
1878,スシハウス 潮,福井県鯖江市丸山町1-6-22,2021-08-11
1877,まくり屋,福井県福井市西開発1-2506,2021-08-11
1875,トラットリア・デル・クアドリフォリオ,福井県越前市上太田町29-15-1 カワイビル,2021-08-11
1871,８８４ HAYASHI珈琲,福井県越前市蓬莱町3-23,2021-08-11
1870,鮨一,福井県小浜市福谷9-5-1,2021-08-11
1869,そば処 あおき,福井県坂井市三国町加戸119-10-32,2021-08-11
