認証番号,店名,住所,更新日,townid,geo3x3
0140,味のよしだや しのぶ庭,福井県あわら市春宮1-8-13,2021-08-11,E9138763464,E9138763464648
0141,みどり亭,福井県勝山市遅羽町比島33-1,2021-08-11,E913881649,E9138816575215
0142,潮騒の館 やし楼,福井県坂井市三国町安島64-1-68,2021-08-11,E913876242,E9138761962233
0143,内くら,福井県福井市品ヶ瀬町5-97,2021-08-11,E9138811984,E9138811979462
0144,ゆのくに,福井県敦賀市本町1-7-27,2021-08-11,E91384677323,E9138467732352
0145,居酒屋 あいらんど,福井県福井市学園2-11-20,2021-08-11,E91387359281,E9138735928126
0146,カフェ＆カラオケ Yell,福井県福井市御幸4-10-6,2021-08-11,E9138736493,E9138736493123
0147,谷口屋,福井県坂井市丸岡町上竹田37-26-1,2021-08-11,E913881758,E9138817854137
0148,料亭 中松,福井県鯖江市旭町1-5-3,2021-08-11,E91387323711,E9138732371271
0149,おらんだ亭,福井県福井市南四ツ居1-21-11,2021-08-11,E91387365784,E9138736578967
0151,季ノ肴 よしかわ,福井県福井市若杉4-702,2021-08-11,E9138735596,E9138735674189
0153,六本弦,福井県福井市田原2-26-4,2021-08-11,E9138736741,E9138736741614
0155,永平寺の館 雲粋,福井県吉田郡永平寺町市野々13-38-2,2021-08-11,E913881482,E9138814816537
0156,mondo（モンド）,福井県大野市有明町21-18,2021-08-11,E9138813821,E9138813822381
0157,レストラン 源治,福井県大飯郡高浜町宮崎63-24-1,2021-08-11,E91376636981,E9137663698939
0159,風の街 やしろ店,福井県福井市渕2-1807,2021-08-11,E9138735617,E9138735617115
0160,ファミリーフーズ チャオ,福井県丹生郡越前町織田98-10-4,2021-08-11,E913873142,E9138731416465
0162,cafe カシュカシュ,福井県福井市八ツ島町31字宮島302-1,2021-08-11,E9138735983,E9138735983625
0163,リベール,福井県越前市小松2-21-40,2021-08-11,E9138498738,E9138498762661
0165,そば割烹 よいん ,福井県福井市福新町1913,2021-08-11,E9138735566,E9138735644414
0167,カラオケ喫茶 あられちゃん,福井県越前市国府1-3-1 源ビル1F,2021-08-11,E9138498819,E9138498819
0168,旅館 水月,福井県小浜市阿納10-12,2021-08-11,E913844637,E9138446381812
0169,明洞２号店,福井県敦賀市白銀町5-18,2021-08-11,E9138467495,E9138467496172
